id;start_date;end_date;language
1;2020-06-20T07:24:05;2020-06-20T05:14:20;SPANISH
2;2020-06-19T12:14:16;2020-06-20T07:18:41;SPANISH
3;2020-06-20T03:09:35;2020-06-19T13:43:44;FRENCH
4;2020-06-19T18:27:06;2020-06-20T05:58:32;FRENCH
5;2020-06-20T03:57:24;2020-06-20T08:44:23;FRENCH
6;2020-06-19T21:49:45;2020-06-20T09:57:59;FRENCH
7;2020-06-19T23:35:05;2020-06-19T17:25:56;FRENCH
8;2020-06-19T22:31:18;2020-06-20T08:47:26;SPANISH
9;2020-06-19T21:12:27;2020-06-19T17:53:50;SPANISH
10;2020-06-20T05:24:31;2020-06-19T15:59:01;SPANISH
